	52	0	1	-1	48	12	4	0	70
	48	2	3	52	44	0	4	-1	69
	44	4	12	48	189	40	4	-1	68
	189	13	45	44	169	185	4	-1	65
	40	46	59	44	36	16	2	-1	3
	36	60	80	40	4	8	2	-1	2
	16	81	95	40	-1	-1	1	-1	1
	12	96	112	52	-1	-1	1	-1	1
	8	113	120	36	-1	-1	1	-1	1
	4	121	194	36	-1	-1	1	-1	1
	0	195	223	48	-1	-1	1	-1	1
	185	224	231	189	181	28	2	-1	6
	181	232	259	185	177	24	2	-1	5
	177	260	267	181	173	13	2	-1	4
	173	268	270	177	97	20	2	-1	3
	97	271	314	173	1	32	2	-1	2
	169	315	325	189	165	5	4	-1	59
	165	326	363	169	161	85	4	-1	58
	161	364	365	165	157	133	4	-1	56
	157	366	368	161	153	93	4	-1	49
	153	369	408	157	149	129	4	-1	46
	149	409	414	153	145	49	4	-1	37
	145	415	446	149	141	61	4	-1	36
	141	447	464	145	137	105	4	-1	35
	137	465	468	141	230	73	4	-1	30
	230	469	501	137	226	58	4	-1	29
	133	502	536	161	89	125	3	-1	7
	129	537	572	153	121	37	3	-1	9
	125	573	633	133	117	10	2	-1	5
	121	634	649	129	113	45	3	-1	8
	117	650	660	125	109	65	2	-1	4
	113	661	682	121	101	81	3	-1	7
	109	683	701	117	126	57	2	-1	3
	105	702	706	141	162	22	2	-1	5
	101	707	719	113	158	6	2	-1	5
	162	720	730	105	154	38	2	-1	4
	158	731	737	101	146	30	2	-1	4
	126	738	765	109	34	18	2	-1	2
	22	766	789	105	-1	-1	1	-1	1
	6	790	804	101	-1	-1	1	-1	1
	10	805	820	125	-1	-1	1	-1	1
	20	821	841	173	-1	-1	1	-1	1
	24	842	859	181	-1	-1	1	-1	1
	28	860	873	185	-1	-1	1	-1	1
	32	874	879	97	-1	-1	1	-1	1
	93	880	899	157	77	21	2	-1	3
	89	900	910	133	41	33	2	-1	2
	85	911	922	165	9	17	2	-1	2
	81	923	939	113	69	53	2	-1	2
	77	940	956	93	29	25	2	-1	2
	73	957	964	137	-1	-1	1	-1	1
	69	965	979	81	-1	-1	1	-1	1
	65	980	985	117	-1	-1	1	-1	1
	61	986	988	145	-1	-1	1	-1	1
	57	989	1009	109	-1	-1	1	-1	1
	53	1010	1024	81	-1	-1	1	-1	1
	49	1025	1045	149	-1	-1	1	-1	1
	45	1046	1059	121	-1	-1	1	-1	1
	41	1060	1078	89	-1	-1	1	-1	1
	37	1079	1109	129	-1	-1	1	-1	1
	33	1110	1122	89	-1	-1	1	-1	1
	29	1123	1128	77	-1	-1	1	-1	1
	25	1129	1138	77	-1	-1	1	-1	1
	21	1139	1141	93	-1	-1	1	-1	1
	17	1142	1153	85	-1	-1	1	-1	1
	13	1154	1223	177	-1	-1	1	-1	1
	9	1224	1240	85	-1	-1	1	-1	1
	5	1241	1277	169	-1	-1	1	-1	1
	1	1278	1302	97	-1	-1	1	-1	1
	226	1303	1320	230	222	26	4	-1	28
	222	1321	1326	226	218	46	4	-1	27
	218	1327	1337	222	214	74	4	-1	26
	214	1338	1358	218	210	106	4	-1	25
	210	1359	1388	214	206	150	4	-1	24
	206	1389	1424	210	186	202	4	-1	21
	202	1425	1438	206	198	138	3	-1	13
	198	1439	1444	202	194	94	3	-1	11
	194	1445	1456	198	190	174	3	-1	10
	190	1457	1462	194	182	110	3	-1	7
	186	1463	1482	206	166	98	3	-1	8
	182	1483	1527	190	178	142	3	-1	6
	178	1528	1538	182	67	118	2	-1	4
	174	1539	1562	194	170	3	2	-1	3
	170	1563	1567	174	23	7	2	-1	2
	166	1568	1600	186	75	114	3	-1	7
	75	1601	1616	166	71	11	3	-1	6
	67	1617	1646	178	59	19	2	-1	3
	23	1647	1676	170	-1	-1	1	-1	1
	7	1677	1691	170	-1	-1	1	-1	1
	3	1692	1700	174	-1	-1	1	-1	1
	154	1701	1739	162	122	50	2	-1	3
	150	1740	1747	210	130	62	2	-1	3
	146	1748	1760	158	134	2	2	-1	3
	142	1761	1796	182	102	90	2	-1	2
	138	1797	1810	202	82	86	2	-1	2
	134	1811	1825	146	42	14	2	-1	2
	130	1826	1846	150	66	54	2	-1	2
	122	1847	1875	154	78	70	2	-1	2
	118	1876	1892	178	-1	-1	1	-1	1
	114	1893	1905	166	-1	-1	1	-1	1
	110	1906	1935	190	-1	-1	1	-1	1
	106	1936	2003	214	-1	-1	1	-1	1
	102	2004	2011	142	-1	-1	1	-1	1
	98	2012	2019	186	-1	-1	1	-1	1
	94	2020	2021	198	-1	-1	1	-1	1
	90	2022	2051	142	-1	-1	1	-1	1
	86	2052	2061	138	-1	-1	1	-1	1
	82	2062	2091	138	-1	-1	1	-1	1
	78	2092	2105	122	-1	-1	1	-1	1
	74	2106	2121	218	-1	-1	1	-1	1
	70	2122	2126	122	-1	-1	1	-1	1
	66	2127	2141	130	-1	-1	1	-1	1
	62	2142	2151	150	-1	-1	1	-1	1
	58	2152	2184	230	-1	-1	1	-1	1
	54	2185	2202	130	-1	-1	1	-1	1
	50	2203	2218	154	-1	-1	1	-1	1
	46	2219	2260	222	-1	-1	1	-1	1
	42	2261	2274	134	-1	-1	1	-1	1
	38	2275	2305	162	-1	-1	1	-1	1
	34	2306	2321	126	-1	-1	1	-1	1
	30	2322	2345	158	-1	-1	1	-1	1
	26	2346	2355	226	-1	-1	1	-1	1
	18	2356	2370	126	-1	-1	1	-1	1
	14	2371	2393	134	-1	-1	1	-1	1
	2	2394	2399	146	-1	-1	1	-1	1
	71	2400	2402	75	63	55	3	-1	5
	63	2403	2422	71	51	39	2	-1	3
	59	2423	2427	67	27	35	2	-1	2
	55	2428	2436	71	31	15	2	-1	2
	51	2437	2454	63	43	47	2	-1	2
	47	2455	2460	51	-1	-1	1	-1	1
	43	2461	2463	51	-1	-1	1	-1	1
	39	2464	2484	63	-1	-1	1	-1	1
	35	2485	2506	59	-1	-1	1	-1	1
	31	2507	2525	55	-1	-1	1	-1	1
	27	2526	2540	59	-1	-1	1	-1	1
	19	2541	2550	67	-1	-1	1	-1	1
	15	2551	2567	55	-1	-1	1	-1	1
	11	2568	2571	75	-1	-1	1	-1	1
